,sequence,total_frames,duration_sec,CAM_BACK_RIGHT,CAM_BACK,CAM_BACK_LEFT,CAM_FRONT_RIGHT,CAM_FRONT_LEFT,CAM_FRONT,velodyne_semantic,radar,depth,semantic,velodyne,Total
46,44,81,40.5,65.59765625,69.2041015625,71.841796875,64.626953125,72.1533203125,71.0791015625,72.27278137207031,0.6405181884765625,84.294921875,18.2607421875,48.181854248046875,638.1537475585938
47,45,194,97.0,161.2998046875,179.328125,192.16796875,154.9697265625,189.490234375,163.673828125,157.3681869506836,1.2325286865234375,211.6630859375,43.15625,104.912109375,1559.261848449707
48,46,107,53.5,87.615234375,93.822265625,90.91796875,83.2607421875,91.3935546875,87.982421875,78.46659851074219,1.237579345703125,104.8212890625,24.1806640625,52.311065673828125,796.0093841552734
49,47,147,73.5,112.7236328125,118.1650390625,124.0048828125,113.06640625,125.859375,118.3037109375,114.80655670166016,1.700225830078125,144.3837890625,31.8408203125,76.53770446777344,1081.3921432495117
50,48,58,29.0,56.2119140625,45.064453125,44.7783203125,57.205078125,47.310546875,51.1396484375,44.724769592285156,0.640869140625,64.9697265625,14.0537109375,29.816513061523438,455.9155502319336
51,49,87,43.5,76.5791015625,76.583984375,78.3544921875,76.0078125,77.2216796875,75.3310546875,71.7370376586914,1.006256103515625,85.5166015625,15.9775390625,47.82469177246094,682.140251159668
52,50,98,49.0,84.4296875,82.5078125,78.0341796875,86.2001953125,75.8662109375,77.880859375,75.21727752685547,1.05615234375,95.560546875,25.2548828125,50.14485168457031,732.1526565551758
53,51,96,48.0,76.1474609375,82.1201171875,85.8349609375,72.6796875,86.630859375,77.5693359375,75.3896484375,1.07012939453125,85.197265625,25.568359375,50.259765625,718.4675903320312
54,52,114,57.0,96.8828125,89.5966796875,89.5361328125,93.724609375,87.26171875,86.6513671875,87.91291809082031,1.31854248046875,97.4130859375,26.38671875,58.608612060546875,815.2931976318359
55,53,85,42.5,67.3515625,66.998046875,66.109375,64.662109375,66.9462890625,63.119140625,71.10548400878906,0.983123779296875,68.353515625,16.9951171875,47.403656005859375,600.0274200439453
56,54,107,53.5,93.169921875,94.0,80.8369140625,97.419921875,78.314453125,91.36328125,91.50373077392578,0.7060089111328125,99.0224609375,24.72265625,61.00248718261719,812.0618362426758
57,55,111,55.5,102.66796875,97.1201171875,101.6123046875,113.5859375,102.6689453125,106.9619140625,94.30210876464844,0.7743988037109375,131.4013671875,36.7412109375,62.868072509765625,950.704345703125
58,56,168,84.0,167.8896484375,154.6513671875,154.7626953125,172.4462890625,153.755859375,160.5107421875,142.41570281982422,1.007049560546875,202.5,56.51171875,94.94380187988281,1461.394874572754
59,57,134,67.0,124.6142578125,118.3349609375,102.0966796875,121.771484375,100.9638671875,113.77734375,106.72730255126953,0.8701934814453125,152.0419921875,30.8740234375,71.15153503417969,1043.2236404418945
60,58,132,66.0,118.060546875,127.9814453125,123.27734375,112.2890625,113.4208984375,110.435546875,108.38236999511719,0.891510009765625,121.4541015625,33.14453125,72.25491333007812,1041.592269897461
61,59,97,48.5,90.9248046875,96.2958984375,105.5478515625,85.90625,99.142578125,86.271484375,74.42454528808594,0.72271728515625,101.716796875,29.61328125,49.616363525390625,820.1825714111328
62,60,140,70.0,121.4990234375,131.8486328125,142.078125,123.07421875,147.60546875,138.431640625,128.91085052490234,1.059417724609375,157.17578125,42.7822265625,85.94056701660156,1220.4059524536133
63,70,625,312.5,531.1669921875,512.99609375,502.9580078125,526.1376953125,501.1103515625,496.5771484375,504.6097412109375,4.0653533935546875,607.5419921875,164.0537109375,336.40647888183594,4687.623565673828
64,80,1530,765.0,1259.0849609375,1261.6611328125,1258.3017578125,1240.1533203125,1251.04296875,1214.2705078125,1160.8310852050781,17.362762451171875,1409.984375,351.8291015625,773.8873901367188,11198.409362792969
65,90,1726,863.0,1617.3955078125,1626.7529296875,1594.0654296875,1622.5498046875,1573.3349609375,1588.4208984375,1424.7363967895508,11.486190795898438,1979.099609375,527.501953125,949.8242340087891,14515.167915344238
Total,,12451,6225.5,10708.49609375,10730.51171875,10581.7236328125,10603.5546875,10510.009765625,10352.1787109375,10216.474731445312,100.15130615234375,12481.5234375,3042.0361328125,6811.549255371094,96138.20947265625
